RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
229,Santi Aldama,Mem,F-C,22.2,77,21.8,16,10.3,144,0.75,259,0.591,266,0.353,0.56,0.591,9,4.8,1.3,0.6,0.6,0.8,13.9,10.3,15.1,7,120.1,105.7
230,Jose Alvarado,Nor,G,25,61,21.5,19.8,14.2,80,0.813,242,0.488,247,0.336,0.496,0.525,9,2.3,3,1.1,0.2,1.3,11.3,12.1,14.4,7.4,106.6,106
231,Daniel Gafford,Was,F-C,24.5,78,20.6,15.2,17.7,187,0.679,395,0.732,0,0,0.732,0.739,9,5.6,1.1,0.4,1.3,1.1,14.6,10.1,15.7,7.4,136.9,106.1
232,Jeenathan Williams,Por,G,24.2,3,24.8,14.1,8.3,0,0,17,0.706,5,0.2,0.614,0.614,9,3.3,2.3,1,0.7,0.7,12.3,11.3,14.7,6.6,131.2,108.6
233,Terance Mann,Lac,G-F,26.5,79,23.1,15.4,13,116,0.793,318,0.597,196,0.393,0.594,0.622,8.9,3.5,2.3,0.5,0.3,1,12.4,11.2,14.7,7.2,124.1,110.5
234,AJ Griffin,Atl,F,19.6,71,19.3,17.8,7.5,44,0.909,266,0.538,254,0.394,0.563,0.58,8.8,2.1,1,0.6,0.2,0.6,10.9,9.8,11.9,5.5,115.8,114.5
235,Royce O'Neale,Bro,F,29.8,76,31.7,13.6,16.1,69,0.725,174,0.379,419,0.389,0.524,0.538,8.8,5.1,3.7,0.9,0.6,1.5,13.9,12.6,17.6,6.9,108.1,107.7
236,Cedi Osman,Cle,F,28,76,20.2,18.2,8.7,105,0.695,215,0.567,311,0.373,0.563,0.581,8.8,2.3,1.5,0.4,0.1,0.7,11,10.2,12.5,6.2,115.9,107.3
237,Taurean Prince,Min,F,29,52,21.8,17.2,16.2,70,0.843,173,0.561,183,0.377,0.563,0.595,8.8,2.4,1.6,0.5,0.3,1.3,11.3,10.4,12.8,5.9,107.1,108.6
238,Terrence Ross,Pho,G-F,32.2,20,17.8,19.5,3.8,12,0.833,58,0.569,93,0.355,0.546,0.56,8.8,3.3,1.9,0.5,0.1,0.3,12,10.6,13.9,8.6,122,104.7
239,Dennis Smith Jr.,Cha,G,25.4,54,25.7,17.6,15.3,106,0.736,341,0.475,111,0.216,0.438,0.475,8.8,3.1,4.8,1.4,0.5,1.5,11.9,13.6,16.7,7.9,103.2,109.7
240,T.J. McConnell,Ind,G,31,75,20.4,19.1,21.6,68,0.853,462,0.556,59,0.441,0.568,0.59,8.7,3.1,5.3,1.1,0.1,1.9,11.8,14,17.1,10.3,115.8,114.1
241,Mark Williams,Cha,C,21.3,42,19,16.8,13.6,91,0.692,241,0.627,0,0,0.627,0.649,8.7,7,0.4,0.6,1,0.9,15.7,9.1,16.1,6.1,125,103.7
242,Steven Adams,Mem,C,29.7,42,27,14.6,23.1,129,0.364,262,0.599,1,0,0.597,0.564,8.6,11.5,2.3,0.9,1.1,1.9,20.1,10.9,22.5,9,118.2,103.2
243,Ayo Dosunmu,Chi,G,23.2,79,26.2,14.8,15,81,0.815,375,0.584,185,0.314,0.546,0.569,8.6,2.7,2.6,0.8,0.3,1.3,11.3,11.2,13.9,6,110.1,108.3
244,Kevin Love,Cle,F-C,34.6,41,20,19.6,14.1,63,0.889,90,0.467,195,0.354,0.511,0.555,8.5,6.8,1.9,0.2,0.2,1.1,15.3,10.3,17.1,9.6,112,102.2
245,Landry Shamet,Pho,G,26.1,39,20.2,18.9,11,50,0.88,97,0.371,194,0.371,0.495,0.53,8.5,1.6,2.2,0.7,0.1,0.9,10.2,10.7,12.4,6.1,109.5,111.1
246,Gabe York,Ind,G,20,2,21.8,14.4,0,2,1,1,0,13,0.385,0.536,0.571,8.5,3,2,0.5,0,0,11.5,10.5,13.5,6.8,128.4,117.9
247,Draymond Green,Gol,F,33.1,72,31.7,13.2,30.1,108,0.713,338,0.612,129,0.302,0.569,0.591,8.4,7.3,6.9,1,0.8,2.8,15.7,15.3,22.6,9.5,113.9,106.3
248,Jaden Hardy,Dal,G,20.8,47,14.5,26,12.9,77,0.818,161,0.453,149,0.416,0.535,0.574,8.4,1.8,1.3,0.4,0.1,1,10.2,9.7,11.5,7.4,107.5,110.3
249,Cam Reddish,Nyk,F-G,23.6,20,21.9,16.2,9.9,33,0.879,80,0.55,56,0.304,0.511,0.558,8.4,1.6,1,0.8,0.4,0.8,10,9.4,11,4.3,113,111.6
250,Gary Harris,Orl,G,28.6,48,24.7,12.6,8.3,30,0.9,89,0.494,218,0.431,0.603,0.62,8.3,2,1.2,0.9,0.3,0.6,10.3,9.5,11.5,4.4,122,110.2
251,Jarred Vanderbilt,Uta,F,24,52,24.1,14.2,17.9,102,0.657,254,0.606,57,0.333,0.587,0.607,8.3,7.8,2.7,1,0.3,1.3,16.2,11,18.9,9.3,124.6,105.3
252,Damion Lee,Pho,G-F,30.5,73,20.2,16.4,14.6,102,0.902,201,0.433,244,0.451,0.566,0.608,8.2,3,1.3,0.4,0.1,1,11.2,9.5,12.5,6.3,114.8,110
253,Shake Milton,Phi,G-F,26.5,75,20.4,18.5,15.8,114,0.851,345,0.519,145,0.372,0.531,0.571,8.2,2.5,3.1,0.3,0.2,1.2,10.7,11.3,13.8,7.8,114.6,110.5
254,Georges Niang,Phi,F,29.8,78,19.4,17,9.7,45,0.867,118,0.576,384,0.401,0.596,0.61,8.2,2.4,1,0.4,0.2,0.7,10.5,9.2,11.5,5.6,114.1,107.9
255,Grant Williams,Bos,F,24.4,78,26.1,13.1,14.7,122,0.77,183,0.546,291,0.395,0.575,0.605,8.2,4.6,1.7,0.5,0.4,1.1,12.8,9.9,14.5,6.1,118.5,105.2
256,Jevon Carter,Mil,G,27.6,80,22.4,15.3,12,38,0.816,227,0.427,332,0.422,0.549,0.56,8.1,2.5,2.4,0.8,0.4,1,10.6,10.5,13,6.5,113.6,106.6
257,Aleksej Pokusevski,Okc,C,21.3,34,20.6,18.3,14.7,35,0.629,145,0.483,104,0.365,0.51,0.522,8.1,4.7,1.9,0.6,1.3,1.3,12.8,10,14.7,8.1,105.7,108.9
258,Nick Richards,Cha,C,25.4,64,18.7,15.6,15.3,178,0.742,308,0.627,1,1,0.629,0.673,8.1,6.4,0.6,0.2,1.1,0.9,14.5,8.7,15.1,6.7,131.3,104.6
259,Terrence Ross,Orl,G-F,32.2,42,22.5,15.7,11,20,0.75,139,0.489,160,0.381,0.533,0.543,8,2,1.3,0.6,0.2,0.9,10,9.2,11.3,4.9,104.3,113
260,Kemba Walker,Dal,G,32.9,9,16,22.1,6.5,21,0.81,29,0.586,28,0.25,0.482,0.543,8,1.8,2.1,0.2,0.2,0.4,9.8,10.1,11.9,7.8,118.3,113.3
261,Robert Williams III,Bos,C-F,25.5,35,23.5,11.8,16.6,41,0.61,169,0.751,1,0,0.747,0.742,8,8.3,1.4,0.6,1.4,1,16.3,9.4,17.7,7.7,145.6,103.5
262,Kenrich Williams,Okc,G-F,28.3,53,22.8,13.7,8.5,39,0.436,212,0.608,134,0.373,0.59,0.585,8,4.9,2,0.8,0.3,0.6,12.9,10,14.9,7.5,126.5,108.3
263,Chris Duarte,Ind,G,25.8,46,19.5,19,11,72,0.847,159,0.428,174,0.316,0.452,0.496,7.9,2.5,1.4,0.5,0.2,0.9,10.4,9.3,11.8,6.2,100.8,115.7
264,Jeff Green,Den,F,36.6,55,19.6,17,12.2,115,0.748,222,0.581,103,0.291,0.535,0.578,7.9,2.6,1.2,0.3,0.3,0.8,10.5,9.1,11.7,5.9,114.6,110.1
265,Duane Washington Jr.,Pho,G,23,31,12.7,32.5,11.7,24,0.667,145,0.372,111,0.36,0.445,0.458,7.9,1.2,2,0.2,0.1,1.1,9,9.9,11.1,8.4,93.4,113.6
266,Luke Kennard,Lac,G,26.8,35,20.7,15.1,12.4,20,0.95,79,0.494,132,0.447,0.604,0.623,7.8,2.4,1.1,0.5,0.1,0.9,10.2,8.9,11.3,5.3,113.9,111.9
267,Josh Richardson,Nor,G,29.6,22,22.9,14.8,12.8,21,0.762,59,0.475,84,0.393,0.542,0.562,7.8,2.3,1.6,1.3,0.4,1,10.1,9.4,11.7,5.3,109.2,106.7
268,Shaquille Harrison,Por,G,29.5,4,23.4,16.6,16.5,13,0.692,18,0.444,7,0.286,0.44,0.505,7.8,4,5,1.8,0.3,1.3,11.8,12.8,16.8,9.2,113.3,106.6
269,Will Barton,Was,G,32.3,40,19.6,19.4,13.7,45,0.778,147,0.395,137,0.38,0.479,0.505,7.7,2.8,2.4,0.4,0.3,1.1,10.4,10.1,12.8,7.6,101.7,114.6
270,R.J. Hampton,Det,G,22.2,20,19.3,17.8,14.6,39,0.667,60,0.483,63,0.365,0.516,0.546,7.7,2.4,1,0.6,0.3,1.1,10.1,8.7,11.1,5.5,103.6,115
271,Kevin Love,Mia,F-C,34.6,20,20.5,18.4,14.6,28,0.857,37,0.622,97,0.289,0.485,0.526,7.7,5.7,2,0.5,0.3,1.2,13.4,9.7,15.4,8.7,106.6,105.5
272,Trey Lyles,Sac,F,27.4,73,16.8,18.2,13.3,124,0.815,167,0.593,237,0.367,0.568,0.611,7.7,4.1,0.9,0.4,0.4,0.8,11.8,8.6,12.7,7.3,118.2,110.2
273,Ochai Agbaji,Uta,G,23,57,20.1,15,9.1,64,0.797,134,0.545,214,0.364,0.546,0.573,7.6,2,1,0.2,0.3,0.6,9.6,8.5,10.6,4.9,117,114.3
274,Pat Connaughton,Mil,G,30.3,61,23.7,13.8,7.3,41,0.659,99,0.566,322,0.339,0.521,0.531,7.6,4.6,1.3,0.6,0.2,0.5,12.3,8.9,13.5,6,112.5,109.5
275,Joe Harris,Bro,G-F,31.6,74,20.6,14.3,8.5,28,0.643,107,0.551,333,0.426,0.618,0.621,7.6,2.2,1.4,0.5,0.2,0.6,9.8,9,11.2,5.6,118.9,110.3
276,Torrey Craig,Pho,F,32.3,78,24.9,13,12.8,45,0.711,246,0.52,253,0.391,0.554,0.564,7.5,5.4,1.5,0.6,0.8,0.9,12.9,9,14.4,6.3,116.1,107.3
277,Tre Mann,Okc,G,22.2,66,17.2,20.7,10.5,50,0.74,232,0.466,253,0.316,0.47,0.486,7.5,2.2,1.6,0.6,0.2,0.9,9.6,9.1,11.3,6.9,100,110.4
278,Justin Minaya,Por,F,24,2,22.5,15.5,12.5,0,0,6,0.5,8,0.375,0.536,0.536,7.5,3.5,1.5,0.5,1.5,1,11,9,12.5,6,109.6,111.1
279,Reggie Jackson,Den,G,33,14,19.4,20.4,13.9,12,0.833,51,0.451,54,0.296,0.448,0.472,7.4,1.5,3.1,0.6,0.1,1.2,8.9,10.5,12,6.7,99.8,111.7
280,Kendrick Nunn,Was,G,27.7,30,13.8,24.1,14,18,0.889,97,0.505,93,0.387,0.542,0.561,7.4,1.6,1.8,0.5,0.1,1,9,9.2,10.8,8,106.8,112.2
281,Dario Saric,Okc,F,29,20,13.7,20.2,16.1,32,0.844,53,0.623,46,0.391,0.606,0.65,7.4,3.3,0.9,0.4,0.1,1,10.6,8.2,11.5,8.2,119.4,105.4
282,Matisse Thybulle,Por,G-F,26.1,22,27.7,11.4,10.4,16,0.625,52,0.519,85,0.388,0.558,0.566,7.4,3.5,1.4,1.7,0.8,0.7,10.9,8.8,12.3,4.8,114.5,112.3
283,Delon Wright,Was,G,30.9,50,24.4,12.9,13.1,60,0.867,172,0.564,120,0.342,0.543,0.579,7.4,3.6,3.9,1.8,0.3,0.9,11,11.3,14.9,7.7,127.3,112.3
284,Luka Samanic,Uta,F,23.2,5,20.1,15.6,14.6,8,0.75,12,0.667,17,0.294,0.534,0.569,7.4,4,2.2,0.6,0.4,1,11.4,9.6,13.6,8,112.4,104.4
285,Mo Bamba,Orl,C,24.9,40,17,16.3,9.3,51,0.686,106,0.594,108,0.398,0.596,0.613,7.3,4.6,1.1,0.3,1,0.6,11.9,8.3,12.9,7.8,125.3,102.6
286,Josh Okogie,Pho,G,24.6,71,18.6,17.6,13.4,188,0.723,209,0.45,192,0.333,0.474,0.533,7.3,3.4,1.4,0.8,0.5,0.9,10.7,8.7,12.1,7,114.1,108.3
287,Mitchell Robinson,Nyk,C-F,25,58,26.9,9.9,12.3,118,0.492,270,0.681,0,0,0.681,0.662,7.3,9.2,0.9,0.9,1.8,0.7,16.6,8.2,17.4,5.8,144.2,104.7
288,Jay Huff,Was,C,25.6,7,13.6,17,16.4,16,0.938,13,0.692,12,0.5,0.72,0.796,7.3,3,1.4,0.4,0.6,0.7,10.3,8.7,11.7,9.2,149.7,101.2
289,Reggie Bullock,Dal,G-F,32.1,78,30.3,10,7.3,37,0.703,73,0.562,397,0.38,0.569,0.577,7.2,3.6,1.4,0.7,0.2,0.5,10.8,8.6,12.2,4.4,116.1,113.1
290,Dorian Finney-Smith,Bro,F,29.9,26,27.7,13.9,12,19,0.789,70,0.429,121,0.306,0.448,0.466,7.2,4.9,1.6,0.7,0.6,1,12.1,8.7,13.7,5.5,102.5,109.9
291,Isaiah Jackson,Ind,F,21.2,62,16.4,17.5,13.6,140,0.65,298,0.591,14,0.143,0.574,0.601,7.2,4.4,0.8,0.5,1.5,0.8,11.6,8,12.4,7.2,121.1,105.4
292,Mason Plumlee,Lac,F-C,33.1,21,19.8,13.8,27.7,52,0.769,78,0.718,0,0,0.718,0.753,7.2,7.2,1.7,0.5,0.5,1.4,14.4,8.9,16.1,9,132.7,101.5
293,Troy Brown Jr.,Lal,G-F,23.7,75,24.6,12.1,9.6,37,0.892,182,0.505,278,0.381,0.546,0.562,7.1,4.1,1.3,0.8,0.2,0.7,11.2,8.4,12.4,5.5,113.7,109.8
294,Willy Hernangomez,Nor,C-F,28.9,37,12.4,23.8,18.7,104,0.779,158,0.544,11,0.273,0.536,0.61,7.1,4.9,0.9,0.5,0.4,1.1,11.9,8,12.8,10.2,119.1,97.1
295,Kevin Knox II,Por,F,23.7,19,15.2,21.9,11.6,17,0.706,69,0.565,53,0.283,0.504,0.521,7.1,3.1,0.8,0.4,0,0.8,10.2,7.9,10.9,6.8,101.5,114.9
296,Kevon Looney,Gol,F,27.2,81,23.9,10.7,10.6,155,0.606,379,0.633,1,0,0.632,0.64,7.1,9.3,2.5,0.6,0.6,0.6,16.4,9.6,18.9,9.2,148.5,103.4
297,Edmond Sumner,Bro,G,27.3,53,13.9,22.1,15.7,108,0.917,182,0.511,87,0.356,0.519,0.597,7.1,1.5,1.3,0.6,0.2,0.9,8.6,8.4,9.9,6.9,112.3,106.9
298,Trendon Watford,Por,F,22.4,60,18.9,15.7,18.5,94,0.723,240,0.604,60,0.367,0.593,0.621,7.1,3.9,2.1,0.5,0.2,1.1,10.9,9.1,13,8.2,117.7,109.9
299,Joe Ingles,Mil,F-G,35.5,45,22.8,12.6,18,21,0.857,44,0.545,201,0.413,0.606,0.619,7,2.8,3.2,0.7,0.1,1.2,9.8,10.2,13,7,119.8,107.9
300,Romeo Langford,San,G-F,23.5,41,19.8,15.4,10.3,49,0.673,193,0.534,59,0.271,0.504,0.525,7,2.8,1.2,0.6,0.3,0.7,9.8,8.2,11,5.8,110.3,116.7
301,Joshua Primo,San,G,20.3,4,23.4,18.2,29.5,9,0.778,14,0.429,12,0.25,0.404,0.467,7,3.3,4.5,0.3,0.5,2.8,10.3,11.5,14.8,8,90.3,116.1
302,Daniel Theis,Ind,F-C,31,7,15.5,20.2,6.4,12,0.417,33,0.576,11,0.182,0.5,0.497,7,3.1,1.3,0.3,0.9,0.4,10.1,8.3,11.4,7.9,108.1,116
303,Xavier Tillman,Mem,F,24.2,61,19.3,13.7,12.6,89,0.551,291,0.632,15,0.267,0.621,0.621,7,5,1.6,1,0.5,0.7,12.1,8.6,13.6,7.9,129.1,105.1
304,Obi Toppin,Nyk,F,25.1,66,15.4,19.2,8.5,44,0.795,159,0.591,237,0.338,0.54,0.557,7,2.7,0.9,0.3,0.2,0.6,9.7,7.9,10.7,6.7,113.9,110.6
305,Jarred Vanderbilt,Lal,F,24,25,24.2,12.3,17.4,35,0.771,101,0.584,32,0.313,0.556,0.59,7,6.8,1.6,1.2,0.2,1.1,13.8,8.6,15.4,7,118.6,104.3
306,Ty Jerome,Gol,G-F,25.8,45,18.1,14.9,11,41,0.927,152,0.546,90,0.389,0.56,0.594,6.9,1.7,3,0.5,0.1,0.7,8.6,9.9,11.6,7.2,126,112.3
307,Cory Joseph,Det,G,31.6,61,19.5,15.3,13.7,71,0.803,168,0.47,173,0.399,0.535,0.567,6.9,1.7,3.4,0.6,0.1,0.9,8.6,10.3,12,7,119.8,116.5
308,Larry Nance Jr.,Nor,F-C,30.3,64,21.3,12,12.2,79,0.696,261,0.655,42,0.333,0.634,0.65,6.9,5.5,1.8,0.9,0.6,0.7,12.4,8.7,14.2,7.7,134.5,103.9
309,Ben Simmons,Bro,G-F,26.7,42,26.3,14.3,29.2,57,0.439,233,0.571,2,0,0.566,0.559,6.9,6.3,6.1,1.3,0.5,2.3,13.2,13,19.3,9.8,111.1,101.3
310,Aaron Wiggins,Okc,G-F,24.3,69,18.7,14.4,13.1,71,0.831,238,0.567,121,0.397,0.577,0.606,6.9,3,1.2,0.6,0.2,0.8,9.9,8,11,6.2,119.3,110.3
311,James Wiseman,Gol,C,22,21,12.5,20,12.9,38,0.684,92,0.63,2,0.5,0.633,0.655,6.9,3.5,0.7,0.1,0.3,0.7,10.4,7.6,11,8.2,123.5,101.8
312,Brandon Boston Jr.,Lac,G,21.4,21,11.7,26.5,9,38,0.763,92,0.424,29,0.414,0.471,0.519,6.8,1.4,0.9,0.4,0,0.6,8.2,7.7,9.1,7,105.9,109.5
313,Terence Davis,Sac,G,25.9,63,13.1,22.2,13,41,0.829,120,0.533,235,0.374,0.552,0.571,6.8,2.2,1.1,0.7,0.2,0.8,9,7.8,10,7.8,106.9,104.4
314,Justise Winslow,Por,F-G,27,29,26.8,14.2,17.8,28,0.714,153,0.438,45,0.311,0.444,0.466,6.8,5,3.4,1,0.4,1.5,11.8,10.1,15.1,7.3,104.5,108.9
315,Anthony Lamb,Gol,F,25.2,61,19.4,13.9,14.7,60,0.767,113,0.646,199,0.367,0.585,0.607,6.7,3.5,1.5,0.5,0.3,0.9,10.2,8.3,11.7,6.8,118.4,107.5
316,Isaiah Livers,Det,F,24.7,52,23.1,11.9,9.4,39,0.821,85,0.541,203,0.365,0.545,0.567,6.7,2.8,0.8,0.5,0.5,0.6,9.4,7.4,10.2,4.3,112.8,114.6
317,Kendrick Nunn,Lal,G,27.7,39,13.5,23.4,11,21,0.81,125,0.488,126,0.325,0.488,0.503,6.7,1.4,0.9,0.3,0.1,0.8,8.1,7.6,9,6,95.5,111.3
318,Dwight Powell,Dal,F-C,31.7,76,19.2,12.7,19.4,168,0.667,264,0.746,5,0,0.732,0.738,6.7,4.1,0.9,0.6,0.3,0.9,10.8,7.6,11.7,6.1,142.5,104.1
319,Jeremiah Robinson-Earl,Okc,F,22.4,42,18.4,14.6,7.5,40,0.825,130,0.554,105,0.333,0.53,0.558,6.7,4.1,1,0.6,0.3,0.5,10.8,7.7,11.8,6.6,122.9,109.7
320,Drew Eubanks,Por,F-C,26.2,78,20.3,12.5,16.7,125,0.664,316,0.655,18,0.389,0.651,0.666,6.6,5.4,1.3,0.5,1.3,0.9,12,8,13.3,7.1,130.9,108.9
321,Luka Garza,Min,C,24.3,27,8.8,26.7,11.2,52,0.788,73,0.644,38,0.368,0.613,0.661,6.6,2.2,0.7,0.1,0.1,0.5,8.8,7.2,9.4,9.8,131.7,100.6
322,Nassir Little,Por,F-G,23.2,54,18.1,16,10.6,46,0.717,145,0.524,158,0.367,0.538,0.555,6.6,2.6,0.9,0.4,0.4,0.7,9.3,7.6,10.2,5.5,109,115.4
323,Jalen McDaniels,Phi,F-C,25.2,23,17.4,16.1,10,34,0.824,86,0.512,30,0.4,0.534,0.58,6.6,3.2,0.7,0.7,0.2,0.6,9.8,7.3,10.5,5.6,116.8,102.8
324,David Roddy,Mem,F,22,69,17.6,16.5,12.1,65,0.631,197,0.563,204,0.309,0.512,0.526,6.6,2.7,0.8,0.4,0.3,0.8,9.3,7.3,10.1,5.5,103.9,107.3
325,Cody Zeller,Mia,F-C,30.5,14,14.6,18.4,19.6,31,0.71,55,0.636,2,0,0.614,0.651,6.6,4.3,0.6,0.2,0.3,1,10.9,7.1,11.4,7,122.2,99.3
326,Jae Crowder,Mil,F,32.8,17,18.5,12.6,7.8,12,0.833,33,0.576,49,0.429,0.616,0.636,6.5,3.8,1.2,0.6,0.4,0.4,10.4,7.8,11.6,6.7,133.2,105.7
327,Goran Dragic,Chi,G,36.9,50,15.6,21,15.6,41,0.659,170,0.482,128,0.352,0.502,0.516,6.5,1.4,2.8,0.2,0.1,1.1,7.9,9.3,10.7,7.5,103.9,110.5
328,JaMychal Green,Gol,F-C,32.8,56,14,17.7,17.2,67,0.776,140,0.664,110,0.382,0.624,0.651,6.5,3.6,0.9,0.4,0.4,0.9,10.1,7.4,11,7.9,121.3,103.6
329,Jock Landale,Pho,C,27.5,68,14.1,19.1,15.2,105,0.752,241,0.627,83,0.241,0.559,0.596,6.5,4,1,0.2,0.4,0.9,10.5,7.5,11.5,8.4,119.6,103
330,Jay Scrubb,Orl,G,22.6,2,15.1,15.5,29.4,2,0.5,5,0.6,2,1,0.857,0.825,6.5,3,0.5,1,0.5,1.5,9.5,7,10,5.7,107.7,106.2
331,Patrick Beverley,Lal,G,34.7,45,26.9,10.6,14.8,50,0.78,83,0.506,158,0.348,0.517,0.548,6.4,3.1,2.6,0.9,0.6,0.9,9.5,9,12.1,5.5,112.6,106.8
332,Theo Maledon,Cha,G,21.8,43,18.9,17,18.8,70,0.843,148,0.453,93,0.301,0.452,0.51,6.4,2.7,3.4,0.8,0.3,1.3,9.1,9.8,12.5,8.2,104.9,111.4
333,Isaac Okoro,Cle,F-G,22.2,76,21.7,12,10.6,103,0.757,183,0.617,171,0.363,0.582,0.614,6.4,2.5,1.1,0.7,0.4,0.6,8.9,7.6,10.1,4.8,123.7,105
334,Nickeil Alexander-Walker,Uta,G,24.6,36,14.7,18.4,20.9,39,0.692,83,0.578,87,0.402,0.591,0.609,6.3,1.6,2.1,0.7,0.4,1.3,8,8.4,10.1,7.5,111.3,108.6
335,Evan Fournier,Nyk,G-F,30.4,26,17.2,18.5,11.5,21,0.857,51,0.412,111,0.315,0.454,0.482,6.3,1.8,1.4,0.6,0.1,0.8,8.2,7.7,9.6,5.8,100.4,107.2
336,Jordan Goodwin,Was,G,24.5,61,17.6,17,13.5,65,0.769,229,0.502,110,0.318,0.494,0.524,6.3,3.3,2.7,0.9,0.4,0.9,9.6,9,12.3,8.7,113.8,108.7
337,Nicolas Batum,Lac,G-F,34.3,76,21.9,11.7,11.8,48,0.708,64,0.563,310,0.39,0.582,0.593,6.2,3.8,1.5,0.7,0.6,0.7,10,7.7,11.5,6,120.2,108.1
338,Sam Hauser,Bos,F,25.3,79,15.8,14.5,7.1,17,0.706,59,0.661,321,0.411,0.624,0.627,6.2,2.5,0.8,0.4,0.3,0.4,8.7,7,9.5,5.9,122.6,107
339,Mike Muscala,Okc,F-C,31.8,43,14.5,15.7,6.4,39,0.795,61,0.541,142,0.394,0.576,0.602,6.2,3.1,0.9,0.3,0.4,0.3,9.3,7,10.2,7.1,125,105.7
340,Robert Covington,Lac,F,32.3,46,16.3,15.9,11.7,40,0.75,91,0.516,134,0.388,0.556,0.577,6.1,3.4,1.2,0.8,0.7,0.7,9.5,7.3,10.7,7.2,115.5,103.3
341,Patrick Beverley,Chi,G,34.7,21,27.7,10.7,13.4,15,0.533,37,0.568,79,0.316,0.504,0.51,6,5,3.4,1,0.7,0.9,11,9.4,14.4,6.7,114.3,104.7
342,Oshae Brissett,Ind,F-G,24.8,64,16.5,15.7,9.2,138,0.725,152,0.467,152,0.316,0.47,0.529,6,3.3,0.6,0.5,0.2,0.5,9.3,6.7,9.9,5.5,112.4,114.5
343,Patty Mills,Bro,G,34.7,39,13.6,19.6,11.6,23,0.913,73,0.493,125,0.376,0.538,0.562,6,1.1,1.4,0.4,0.1,0.7,7.1,7.4,8.5,6.2,109.1,115.2
344,Jordan Nwora,Mil,F,24.6,38,15.7,17.6,14.7,43,0.86,95,0.379,102,0.392,0.487,0.53,6,3.1,1,0.3,0.2,0.9,9.1,7,10.1,6.8,105.9,109.3
345,Duncan Robinson,Mia,F,29,41,16,17.7,10.8,26,0.923,42,0.524,181,0.331,0.502,0.529,6,1.6,1,0.3,0,0.7,7.7,7.1,8.7,5.3,103.6,105.8
346,Gary Payton II,Gol,G,30.3,6,15.3,13.4,14.1,3,0.667,15,0.733,9,0.444,0.708,0.711,6,3.7,0.7,0.3,0.7,0.7,9.7,6.7,10.3,6.5,136.3,107.4
