RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
469,Amir Coffey,Lac,G-F,25.8,49,12.7,13.6,12.6,63,0.778,105,0.429,40,0.275,0.424,0.498,3.5,1.1,1.1,0.1,0.1,0.4,4.6,4.6,5.7,5.1,108.5,112.5
470,Taj Gibson,Was,F,37.8,48,10,15.3,17.2,42,0.714,101,0.564,24,0.333,0.552,0.585,3.5,1.9,0.7,0.3,0.3,0.5,5.4,4.2,6.1,6.7,114.8,100.3
471,Kai Jones,Cha,C-F,22.2,45,11.8,12.8,20.6,26,0.731,101,0.624,18,0.222,0.58,0.602,3.5,2.7,0.3,0.4,0.7,0.7,6.2,3.8,6.5,4.8,107.4,106.2
472,Wesley Matthews,Mil,G,36.5,51,15.6,9.7,10.4,24,0.875,35,0.543,120,0.325,0.5,0.532,3.5,2.2,0.6,0.4,0.3,0.4,5.7,4.1,6.3,4.3,114.6,106.8
473,P.J. Tucker,Phi,F,37.9,75,25.6,6.5,16.3,23,0.826,85,0.482,140,0.393,0.549,0.566,3.5,3.9,0.8,0.5,0.2,0.6,7.5,4.3,8.3,3.5,118.7,108.3
474,Gorgui Dieng,San,C,33.2,29,10.9,17.3,21,8,0.75,35,0.571,66,0.273,0.465,0.478,3.4,3.1,1.6,0.1,0.4,0.9,6.5,5,8.1,9.4,98.4,105.7
475,Caleb Houstan,Orl,G,20.2,50,15.6,10.5,9.7,13,0.846,42,0.452,125,0.328,0.482,0.498,3.4,2,0.6,0.2,0.1,0.4,5.4,4,6,4.1,107.1,111.4
476,Kenneth Lofton Jr.,Mem,F,20.7,23,5.9,25.9,12.8,15,0.533,53,0.491,15,0.4,0.515,0.523,3.4,1.6,0.9,0.2,0.1,0.4,5,4.3,5.9,11.5,109.8,94.6
477,Miles McBride,Nyk,G,22.6,63,11.9,14.6,10.6,42,0.667,79,0.456,132,0.295,0.448,0.473,3.4,0.8,1.1,0.6,0.1,0.4,4.2,4.6,5.4,4.8,105.4,110.3
478,Jericho Sims,Nyk,C,24.5,52,15.6,7.5,20.1,16,0.75,106,0.783,1,0,0.776,0.78,3.4,4.7,0.5,0.3,0.5,0.5,8.1,3.9,8.6,5.1,146.5,104
479,Dru Smith,Bro,G,25.3,9,7.5,18.6,3.5,1,1,14,0.643,13,0.308,0.556,0.565,3.4,1.2,1.6,0.6,0.1,0.1,4.7,5,6.2,10,128.5,100.9
480,Dominick Barlow,San,F,19.9,26,13.3,10.9,16.8,18,0.722,65,0.554,4,0,0.522,0.553,3.3,3,0.8,0.3,0.7,0.5,6.3,4,7,6,117.6,109.3
481,Goga Bitadze,Ind,C-F,23.7,21,9.6,15.5,18.7,24,0.458,38,0.605,14,0.286,0.558,0.551,3.3,2.3,0.9,0.4,0.5,0.6,5.6,4.1,6.5,7.9,115.4,103.8
482,Josh Minott,Min,F,20.4,14,6.6,18.9,8,8,1,28,0.571,6,0.333,0.559,0.613,3.3,1.8,0.3,0.3,0.4,0.2,5.1,3.6,5.4,7.3,122.8,103.2
483,Omer Yurtseven,Mia,C,24.8,8,7.4,16.7,14.1,3,0.667,14,0.643,4,0.5,0.667,0.673,3.3,2,0.3,0.1,0.1,0.4,5.3,3.5,5.5,6.8,125.3,93.6
484,Max Christie,Lal,G,20.2,40,12.8,10.3,10.1,16,0.875,44,0.409,62,0.419,0.538,0.566,3.2,1.9,0.5,0.2,0.2,0.3,5.1,3.7,5.6,4.5,111.7,110.6
485,David Duke Jr.,Bro,G,23.5,22,8.3,20.5,18.7,11,0.636,57,0.526,8,0.125,0.485,0.501,3.2,1,0.8,0.3,0,0.7,4.1,4,4.9,6.6,94.9,103.9
486,Anthony Gill,Was,F,30.5,58,10.4,12,10.8,63,0.746,97,0.66,27,0.148,0.565,0.616,3.2,1.7,0.6,0.1,0.2,0.3,4.9,3.8,5.4,5.7,129.8,109.4
487,Richaun Holmes,Sac,F,29.5,41,8.3,13.8,13.8,19,0.789,80,0.625,7,0.714,0.661,0.682,3.2,1.9,0.2,0.1,0.3,0.3,5.1,3.4,5.3,5.1,129.9,104.7
488,Jason Preston,Lac,G,23.7,13,9.4,18.6,19.6,2,0,23,0.565,18,0.278,0.5,0.489,3.2,1.7,2.1,0.2,0,0.8,4.8,5.2,6.9,9.6,102.4,111.7
489,Juan Toscano-Anderson,Uta,F,30,20,14.3,11.9,20.2,6,0.833,45,0.556,18,0.167,0.468,0.488,3.2,2.7,1.6,0.2,0.1,0.8,5.9,4.8,7.5,6.7,100.7,109.2
490,Udoka Azubuike,Uta,C-F,23.6,34,8.9,11.9,21.5,16,0.313,62,0.806,0,0,0.806,0.76,3.1,3,0.3,0.2,0.4,0.5,6.1,3.4,6.4,6.3,126.4,106.7
491,Jordan Hall,San,G,21.2,9,9.1,19.6,19.8,9,0.778,13,0.462,15,0.2,0.375,0.438,3.1,1.3,1.2,0.1,0,0.8,4.4,4.3,5.7,7.4,91.1,117.7
492,Christian Koloko,Tor,C,22.8,57,13.6,10.5,12,57,0.632,135,0.504,11,0.091,0.476,0.511,3.1,2.9,0.5,0.3,1,0.4,6,3.6,6.5,4.9,118.3,101.4
493,Boban Marjanovic,Hou,C,34.6,30,5.3,20.3,19.6,26,0.769,52,0.692,1,0,0.679,0.714,3.1,1.8,0.3,0.1,0,0.4,4.9,3.3,5.1,9,126.9,113.7
494,Raul Neto,Cle,G,30.9,47,10.3,12.5,17.2,29,0.897,62,0.661,39,0.308,0.584,0.633,3.1,1,1.6,0.3,0.1,0.4,4,4.6,5.6,6.6,127.8,105.5
495,Xavier Cooks,Was,G,27.6,9,9.7,13.7,28.9,8,0.5,16,0.75,1,0,0.706,0.682,3.1,2.7,0.7,0.4,0.2,0.8,5.8,3.8,6.4,7.4,117.6,103.6
496,Tyler Dorsey,Dal,G,27.1,3,2.8,27.3,0,0,0,3,1,2,0.5,0.9,0.9,3,0.7,0,0,0,0,3.7,3,3.7,0,,
497,Usman Garuba,Hou,F,21.1,74,12.9,10.4,20.5,47,0.617,117,0.53,57,0.421,0.563,0.578,3,4.1,0.9,0.6,0.4,0.6,7.1,3.9,8,6.9,120.2,105.2
498,Danny Green,Mem,G,35.8,3,14.5,13.4,21.4,0,0,3,0,8,0.375,0.409,0.409,3,1.3,0.7,0.3,0,1,4.3,3.7,5,3.9,76.5,103.3
499,Jake LaRavia,Mem,F,21.4,35,11.8,11.7,15.9,9,0.778,24,0.542,71,0.338,0.516,0.531,3,1.8,0.6,0.3,0.1,0.5,4.8,3.6,5.4,5,105.3,104
500,Saben Lee,Phi,G,23.8,2,5.1,31,42.9,0,0,3,1,1,0,0.75,0.75,3,0,1,0.5,0,1.5,3,4,4,0,86.3,105.6
501,Garrison Mathews,Atl,G,26.5,8,7.3,15.3,4.9,3,0.667,5,0.4,14,0.429,0.579,0.591,3,1,0.3,0.1,0,0.1,4,3.3,4.3,5.3,117.5,113.3
502,Trevelin Queen,Ind,G,26.1,7,10,22.9,19.2,5,1,14,0.357,15,0.133,0.276,0.337,3,2.4,0.9,0.3,0.7,1,5.4,3.9,6.3,7.5,78.9,116.5
503,Neemias Queta,Sac,C,23.7,4,6.1,17.3,11.1,2,0,8,0.75,0,0,0.75,0.676,3,2.3,0.3,0,0.3,0.3,5.3,3.3,5.5,8.4,133.4,89.1
504,Michael Carter-Williams,Orl,G,31.5,3,9.3,16.6,10.7,4,0.75,7,0.429,1,0,0.375,0.461,3,1.7,1.3,0,0.3,0.3,4.7,4.3,6,8.1,108.1,115.2
505,Juancho Hernangomez,Tor,F,27.5,42,14.6,9.5,11.6,16,0.563,47,0.66,67,0.254,0.496,0.504,2.9,2.9,0.6,0.4,0.1,0.4,5.8,3.5,6.4,4.7,108.3,110.5
506,Jared Rhoden,Det,G,23.6,13,12.5,10.9,7.6,6,1,20,0.5,16,0.25,0.444,0.492,2.9,2.4,0.3,0.3,0.1,0.2,5.3,3.2,5.6,4.1,110.6,109.5
507,Robin Lopez,Cle,C,35,36,7.8,15.2,26,16,0.75,62,0.677,3,0.667,0.692,0.708,2.8,1.3,0.5,0.1,0.2,0.6,4.2,3.3,4.6,6.3,117.8,100.9
508,Jaden Springer,Phi,G,20.5,15,5.8,21.3,7.8,8,0.75,30,0.5,5,0.4,0.514,0.545,2.8,0.9,0.5,0.5,0.2,0.2,3.7,3.3,4.3,7.4,117.1,96
509,Moussa Diabate,Lac,F,21.2,21,9.2,14,16.3,16,0.625,44,0.5,2,0.5,0.511,0.537,2.7,2.3,0.2,0.3,0.4,0.4,5,2.9,5.2,4.7,118.3,110.2
510,Frank Kaminsky,Atl,F-C,30,26,6.8,13.9,16.9,12,0.833,21,0.667,23,0.478,0.693,0.72,2.7,1.4,0.8,0.2,0,0.3,4.1,3.5,4.9,8.5,132.5,105.8
511,Frank Ntilikina,Dal,G,24.7,46,12.3,12.9,18.2,29,0.724,58,0.466,63,0.254,0.421,0.46,2.7,1.3,1.2,0.3,0.1,0.6,4,3.9,5.2,5.3,95.3,108.8
512,Terry Taylor,Ind,G,23.5,26,8.8,14.2,12.1,7,0.714,47,0.553,18,0.222,0.492,0.507,2.7,1.5,0.4,0.1,0.2,0.3,4.2,3,4.5,5.3,108.8,113.8
513,Matisse Thybulle,Phi,G-F,26.1,49,12.1,9.8,6.4,12,0.75,53,0.547,63,0.333,0.522,0.536,2.7,1.3,0.5,0.9,0.3,0.2,3.9,3.1,4.4,4,116.2,103.8
514,Juan Toscano-Anderson,Lal,F,30,30,12.2,10.4,20.4,15,0.733,46,0.63,20,0.2,0.53,0.558,2.7,2,0.8,0.3,0.2,0.6,4.7,3.5,5.6,5.3,107.3,103.8
515,Peyton Watson,Den,G,20.6,21,6.8,17.2,11.1,6,0.333,36,0.5,12,0.5,0.563,0.553,2.7,1.4,0.3,0,0.3,0.3,4.1,3,4.4,6.1,106.5,109.5
516,Ryan Arcidiacono,Por,G,29,9,16.2,11.3,15.8,0,0,12,0.083,20,0.35,0.359,0.359,2.6,1.2,2.3,0.3,0,0.7,3.8,4.9,6.1,4.8,88.6,113.5
517,James Johnson,Ind,F,36.1,17,9.2,15,15.3,8,0.5,29,0.552,15,0.2,0.466,0.473,2.6,1.6,0.7,0.4,0.4,0.5,4.3,3.4,5,6.2,93.4,99.5
518,Isaiah Mobley,Cle,F,23.5,11,5.6,17.4,4.3,2,1,16,0.563,6,0.5,0.614,0.634,2.6,1.5,0.1,0.4,0.3,0.1,4.1,2.7,4.2,5.2,127,100.6
519,Damian Jones,Lal,C,27.8,22,8,13.1,19.4,20,0.75,34,0.588,3,0,0.541,0.6,2.5,2.5,0.2,0.1,0.5,0.4,5,2.7,5.2,5.4,118.4,105.2
520,Ish Smith,Den,G,34.8,41,9,19.7,24.8,4,0.5,115,0.417,9,0.222,0.411,0.413,2.5,1.2,2.2,0.2,0.2,1,3.8,4.8,6,8.3,88.8,109.9
521,Jared Butler,Okc,G,22.6,5,6.2,17.6,15.4,0,0,6,0.5,5,0.4,0.545,0.545,2.4,0.2,0.8,0.8,0,0.4,2.6,3.2,3.4,4.7,103.7,99
522,Jeff Dowtin Jr.,Tor,G,25.9,25,10.3,10.9,8,9,0.667,41,0.488,16,0.313,0.482,0.5,2.4,0.9,1.2,0.4,0.1,0.2,3.4,3.7,4.6,5.3,117.6,114.6
523,Trent Forrest,Atl,G,24.8,22,11.8,11.7,21,3,0.667,54,0.463,2,0,0.446,0.454,2.4,1.6,1.5,0.3,0.1,0.7,4,3.9,5.5,6.1,94.4,113.8
524,Sandro Mamukelashvili,Mil,F-C,23.9,24,9.1,14.5,13.4,18,0.667,26,0.462,32,0.219,0.388,0.432,2.4,2.3,0.7,0.2,0.2,0.4,4.7,3,5.4,6.9,102.2,105.4
525,Garrett Temple,Nor,G-F,36.9,21,6.6,14.3,9,4,0.75,17,0.412,23,0.478,0.588,0.599,2.4,0.8,0.6,0.3,0.1,0.2,3.1,3,3.7,6.4,123.1,107.1
526,Mamadi Diakite,Cle,F,26.2,21,7.6,15.8,19.8,2,1,25,0.56,19,0.316,0.523,0.535,2.3,1.3,0.2,0.1,0.4,0.5,3.6,2.5,3.9,4.4,95.2,98.2
527,Nerlens Noel,Det,C-F,29,14,10.8,11.9,20.9,10,0.7,28,0.393,2,0.5,0.417,0.465,2.3,2.6,0.5,0.9,0.6,0.6,4.9,2.8,5.4,5.3,92.6,99.2
528,Scotty Pippen Jr.,Lal,G,22.4,6,5.3,24.1,14,9,0.556,9,0.333,3,0.333,0.375,0.439,2.3,0.7,0.3,0.3,0.2,0.3,3,2.7,3.3,5.9,92.9,106.7
529,Micah Potter,Uta,F,25,6,5.2,12,11.1,0,0,5,0.8,3,0.667,0.875,0.875,2.3,1,0.5,0,0,0.2,3.3,2.8,3.8,8.1,157.6,110.9
530,Davon Reed,Den,G,27.8,35,9,15,19.9,20,0.75,36,0.25,44,0.364,0.413,0.456,2.3,1.5,0.5,0.4,0.1,0.6,3.9,2.9,4.4,5.3,89.2,104.8
531,Khem Birch,Tor,C,30.5,20,8.1,11.1,19.8,5,0.8,30,0.6,2,0.5,0.609,0.629,2.2,1.3,0.4,0.3,0.3,0.4,3.4,2.5,3.8,5.2,113.1,102.7
532,Kennedy Chandler,Mem,G,20.6,36,7.8,15.7,17.8,13,0.462,68,0.485,15,0.133,0.434,0.44,2.2,1.1,1.6,0.3,0.1,0.5,3.2,3.8,4.8,8.1,101.3,110.3
533,Dru Smith,Mia,G,25.3,5,13.4,10,6.7,0,0,8,0.5,6,0.167,0.393,0.393,2.2,1.8,1,0.8,0.6,0.2,4,3.2,5,4.7,94.4,98
534,John Butler Jr.,Por,F,20.3,17,10.4,11.1,2.3,3,1,14,0.5,29,0.207,0.372,0.395,2.1,0.9,0.5,0.4,0.5,0.1,2.9,2.5,3.4,3.8,94.5,113.1
535,Andre Iguodala,Gol,G-F,39.2,8,14.1,9.4,37,3,0.667,6,1,9,0.111,0.5,0.521,2.1,2.1,2.4,0.5,0.4,1.1,4.3,4.5,6.6,6.2,102.2,108.6
536,Darius Bazley,Pho,F-G,22.8,6,5.7,21,24.7,2,0.5,7,0.571,5,0.2,0.458,0.466,2,1.2,0.7,0.5,0.5,0.7,3.2,2.7,3.8,8.3,84.2,89.5
537,Justin Champagnie,Tor,G-F,21.8,3,3.6,11.7,0,0,0,3,1,0,0,1,1,2,1.3,0.3,0,0,0,3.3,2.3,3.7,10.2,,
538,A.J. Lawson,Min,G,22.7,1,1.8,23.8,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,3,2,3,0,,
539,Sam Merrill,Cle,G,26.9,4,8.1,13.8,0,0,0,1,1,9,0.222,0.4,0.4,2,1.3,1,0.3,0,0,3.3,3,4.3,6.8,103.3,106.9
540,Chris Silva,Dal,F,26.5,1,3,30.2,50,0,0,1,1,0,0,1,1,2,0,0,0,0,1,2,2,2,0,,
541,Dalen Terry,Chi,F,20.7,37,5.4,18.1,10.8,17,0.588,41,0.537,25,0.28,0.492,0.51,2,0.9,0.6,0.2,0.1,0.2,2.9,2.6,3.5,7.6,110.2,104.3
542,Stanley Umude,Det,G,24,1,2.1,38.1,0,2,1,0,0,1,0,0,0.532,2,0,0,1,1,0,2,2,2,0,,
543,Dewayne Dedmon,Phi,C,33.7,7,8.2,15.4,22.2,4,0,13,0.538,1,0,0.5,0.444,2,2.6,0.9,0.1,0.7,0.6,4.6,2.9,5.4,8.2,98.7,98.3
544,Theo Pinson,Dal,G-F,27.4,38,7.4,14.1,14.4,11,0.818,19,0.316,52,0.327,0.444,0.475,1.9,1.3,0.9,0.1,0,0.3,3.2,2.8,4.1,7.1,105.6,107.7
545,Ryan Rollins,Gol,G,20.8,12,5.2,26.1,43.9,6,1,11,0.364,9,0.333,0.425,0.508,1.9,1,0.5,0.1,0.1,1.3,2.9,2.4,3.4,7.6,70.3,102.1
546,Buddy Boeheim,Det,F,23.4,9,8.9,13.3,0,2,1,2,0.5,22,0.182,0.292,0.322,1.8,0.6,0.3,0.2,0,0,2.3,2.1,2.7,3.1,83.1,117.4
547,Greg Brown III,Por,F,21.6,16,5.8,18.4,17.6,12,0.417,21,0.476,7,0.143,0.411,0.421,1.8,1.2,0.2,0.3,0.3,0.4,2.9,1.9,3.1,5.2,79,104.1
548,Trevor Hudgins,Hou,G,24,5,5.7,16.6,9.6,3,1,1,0,8,0.25,0.333,0.436,1.8,0,0.6,0,0,0.2,1.8,2.4,2.4,0,102.7,125
549,Alize Johnson,San,F,27,4,7.4,15.3,39.1,2,0.5,4,0.75,2,0,0.5,0.509,1.8,2.5,0.3,0.3,0,1,4.3,2,4.5,6,74,108.9
550,Olivier Sarr,Okc,C,24.1,8,8.9,11.3,16.3,3,1,9,0.444,6,0.167,0.367,0.429,1.8,2,0.4,0,0.6,0.4,3.8,2.1,4.1,5.1,107.8,105.1
551,Alex Len,Sac,C,29.8,25,6,15.3,34.6,16,0.688,28,0.571,2,0,0.533,0.58,1.7,2.2,0.4,0.1,0.4,0.6,3.9,2.2,4.4,7.6,109.7,98.6
552,Dylan Windler,Cle,G-F,26.5,3,3.5,17.2,25,0,0,1,1,2,0.5,0.833,0.833,1.7,0,0.3,0.3,0,0.3,1.7,2,2,0,,
553,Xavier Moon,Lac,G,28.3,3,6,22,11.1,0,0,5,0.2,3,0.333,0.313,0.313,1.7,1,1.7,0,0,0.3,2.7,3.3,4.3,9.5,86.4,112.8
554,Tony Bradley,Chi,C-F,25.2,12,2.8,19.6,7.4,4,1,7,0.429,5,0.6,0.625,0.69,1.6,0.9,0.1,0.1,0.1,0.1,2.5,1.7,2.6,7.5,,
555,Svi Mykhailiuk,Nyk,G-F,25.8,13,3.1,17.4,14,5,0.6,2,0,10,0.6,0.75,0.739,1.6,0.5,0.1,0.1,0,0.2,2.2,1.7,2.2,5.6,,
556,Kendall Brown,Ind,G,19.9,6,6.7,10.3,21.7,2,0.5,6,0.667,1,0,0.571,0.571,1.5,1,0.5,0.7,0,0.3,2.5,2,3,5.4,109.3,95.5
557,Matthew Dellavedova,Sac,G,32.6,32,6.7,12.7,16.6,7,0.571,23,0.348,27,0.333,0.43,0.443,1.5,0.4,1.3,0.2,0,0.3,1.9,2.8,3.2,5.5,104.5,111.1
558,Keon Ellis,Sac,G,23.2,15,3.8,12.1,7,5,0.6,3,0.333,10,0.6,0.769,0.757,1.5,0.5,0.3,0.3,0.1,0.1,2.1,1.9,2.4,6.4,,
559,Carlik Jones,Chi,G,25.3,6,7.3,12.8,18,4,0.25,6,0.167,3,0.667,0.444,0.418,1.5,0.7,0.5,0.2,0,0.3,2.2,2,2.7,4.4,85.3,113.9
560,Wendell Moore Jr.,Min,G,21.6,27,5.5,15,15.9,5,0.8,25,0.6,17,0.118,0.429,0.452,1.5,0.6,0.7,0.3,0.2,0.3,2.1,2.1,2.8,6.2,95.5,108.9
561,Jordan Schakel,Was,G,24.8,2,3.1,14,0,0,0,1,0,1,1,0.75,0.75,1.5,0,0.5,0.5,0,0,1.5,2,2,0,,
562,Cole Swider,Lal,F,23.9,6,6.7,9.5,0,0,0,1,0,8,0.375,0.5,0.5,1.5,1.2,0.7,0,0,0,2.7,2.2,3.3,6.4,124.6,110.1
563,Facundo Campazzo,Dal,G,32,8,6.5,14.6,18.5,2,0.5,2,0,11,0.273,0.346,0.36,1.3,0.3,1.1,0.8,0,0.4,1.5,2.4,2.6,4.6,86.5,110.8
564,Ron Harper Jr.,Tor,F,23,8,3.1,17,0,0,0,4,0.5,6,0.333,0.5,0.5,1.3,0.4,0.4,0,0.1,0,1.6,1.6,2,7.6,,
565,Braxton Key,Det,F,26.1,3,3,8.8,0,2,1,1,1,0,0,1,1.064,1.3,0.3,0,0,0,0,1.7,1.3,1.7,0,,
566,Vit Krejci,Atl,G,22.8,28,5.2,11.8,9.9,2,0.5,16,0.625,20,0.25,0.486,0.488,1.3,0.8,0.5,0.1,0,0.1,2.1,1.8,2.6,6.2,110.4,109.4
567,KZ Okpala,Sac,F-G,23.9,35,7.1,8.4,15.4,8,0.875,17,0.529,21,0.333,0.513,0.554,1.3,1,0.4,0.2,0.2,0.2,2.3,1.7,2.7,4.5,113.3,103.3
568,Kobi Simmons,Cha,G,25.8,4,4.9,14.8,15.5,2,1,1,0,4,0.25,0.3,0.425,1.3,0.5,0.5,0,0.5,0.3,1.8,1.8,2.3,5.6,91.1,122.2
569,PJ Dozier,Sac,G-F,26.5,15,3.7,21.8,10.7,0,0,12,0.5,13,0.154,0.36,0.36,1.2,0.7,0.3,0.2,0.1,0.2,1.9,1.5,2.1,6.8,,
570,Frank Kaminsky,Hou,F-C,30,9,4.6,13.6,0,4,1,5,0.4,7,0.143,0.292,0.4,1.2,1.1,0.9,0.1,0.2,0,2.3,2.1,3.2,9.2,121.2,119.2
571,Jack White,Den,F,25.7,16,3.2,15.6,5.8,3,0.667,8,0.5,8,0.375,0.531,0.548,1.2,0.6,0.2,0.1,0.1,0.1,1.8,1.4,1.9,6.6,,
572,Kessler Edwards,Bro,F,22.7,14,5.7,16.1,14.2,2,0.5,12,0.333,12,0.167,0.292,0.301,1.1,1,0.1,0.2,0.1,0.3,2.1,1.2,2.2,3.4,71.9,115.2
573,Bruno Fernando,Atl,F-C,24.6,7,2.8,25.3,26.2,2,1,7,0.429,1,0,0.375,0.45,1.1,0.7,0.1,0,0.3,0.4,1.9,1.3,2,6.1,,
574,Tyrese Martin,Atl,G,24.1,15,3.3,16,5.4,2,1,12,0.5,5,0.2,0.441,0.475,1.1,0.4,0.1,0.1,0,0.1,1.5,1.2,1.6,4.3,,
575,Noah Vonleh,Bos,F,27.6,23,7.5,9.1,31,2,1,20,0.5,4,0.25,0.479,0.502,1.1,2.1,0.3,0.1,0.3,0.5,3.2,1.4,3.5,4.7,102.8,92.6
576,Joe Wieskamp,Tor,G-F,23.6,8,4.3,11.2,11.1,0,0,1,0,7,0.429,0.563,0.563,1.1,0.4,0.1,0,0,0.1,1.5,1.3,1.6,3.3,105.6,115.3
577,Vince Williams Jr.,Mem,G,22.6,14,4,14.7,5,0,0,5,0.6,14,0.214,0.395,0.395,1.1,0.5,0.2,0.3,0.1,0.1,1.6,1.3,1.8,4.8,92.6,101.5
578,Thanasis Antetokounmpo,Mil,F,30.7,36,5,13.2,23.9,14,0.357,31,0.516,7,0,0.421,0.419,1,1.1,0.3,0.1,0.1,0.3,2.1,1.4,2.4,5.5,88.7,103.6
579,JD Davison,Bos,G,20.5,11,2.8,21.3,13.3,0,0,9,0.444,4,0.25,0.423,0.423,1,0.5,0.7,0.2,0,0.2,1.5,1.7,2.3,10.1,,
580,Malcolm Hill,Chi,F,27.5,5,1.8,19.4,0,0,0,1,1,3,0.333,0.625,0.625,1,0.6,0,0,0,0,1.6,1,1.6,0,,
581,Trevor Keels,Nyk,G,19.6,3,2.7,21.5,0,0,0,0,0,4,0.25,0.375,0.375,1,0.7,0,0,0,0,1.7,1,1.7,0,,
582,Chima Moneke,Sac,F,27.3,2,4,26.5,50,2,0,2,0.5,0,0,0.5,0.347,1,1,0.5,0,0,1,2,1.5,2.5,7.9,73.2,97.6
583,Davon Reed,Lal,G,27.8,8,3.4,9,0,4,0.25,2,1,2,0.5,0.875,0.694,1,0.5,0.5,0.3,0,0,1.5,1.5,2,7.4,,
584,Nerlens Noel,Bro,C-F,29,3,14.4,12.2,44.6,2,0.5,6,0.167,0,0,0.167,0.218,1,3,1,1,0.3,1.7,4,2,5,4,57.2,98.1
585,Justin Jackson,Bos,F,28,23,4.7,12.2,6.8,2,0.5,7,0.286,20,0.25,0.352,0.359,0.9,0.7,0.4,0.2,0.2,0.1,1.6,1.3,2,5.4,89.6,107.1
586,Dereon Seabron,Nor,G,22.9,5,2.3,18.5,0,0,0,5,0.4,0,0,0.4,0.4,0.8,0.2,0,0,0,0,1,0.8,1,0,,
587,Mfiondu Kabengele,Bos,F-C,25.7,3,5.8,10,25,0,0,2,0.5,1,0,0.333,0.333,0.7,2,0,0,0,0.3,2.7,0.7,2.7,0,94.7,97.2
588,Vernon Carey Jr.,Was,F-C,22.1,11,2.6,16.6,19.2,2,1,8,0.25,0,0,0.25,0.338,0.5,1,0.3,0.2,0.2,0.2,1.5,0.8,1.8,8.2,,
589,Devon Dotson,Was,G,23.7,6,8.9,9.8,25,0,0,6,0,3,0.333,0.167,0.167,0.5,1.7,1.3,0.8,0,0.5,2.2,1.8,3.5,4.6,86.4,98.6
590,Udonis Haslem,Mia,F,42.8,6,7.6,12.6,0,2,0.5,10,0.1,2,0,0.083,0.116,0.5,1.3,0,0.2,0.2,0,1.8,0.5,1.8,0,51.3,98.4
591,Leandro Bolmaro,Uta,F,22.6,14,4.9,15.9,26.9,0,0,15,0.2,4,0,0.158,0.158,0.4,0.5,0.5,0.1,0.1,0.5,0.9,0.9,1.4,3.8,51.1,107.2
592,Isaiah Todd,Was,F,21.5,5,3.2,16.3,16.7,0,0,2,0.5,3,0,0.2,0.2,0.4,0,0,0,0,0.2,0.4,0.4,0.4,0,,
593,Ryan Arcidiacono,Nyk,G,29,11,2.4,9.8,16.7,0,0,2,0,3,0.333,0.3,0.3,0.3,0.4,0.2,0.2,0,0.1,0.6,0.5,0.8,4.8,,
594,Marko Simonovic,Chi,C,23.5,6,1.9,15.5,0,0,0,2,0.5,2,0,0.25,0.25,0.3,0.2,0,0,0,0,0.5,0.3,0.5,0,,
595,Lester Quinones,Gol,G,20,3,2.5,44.6,55.4,2,0.5,1,0,2,0,0,0.129,0.3,0.7,0.3,0,0,1.3,1,0.7,1.3,6.4,,
596,Sterling Brown,Lal,G-F,28.2,4,6.1,6.9,0,0,0,2,0,2,0,0,0,0,2,0.5,0.8,0,0,2,0.5,2.5,0,77.1,92.5
597,Deonte Burton,Sac,G-F,29.2,2,3.3,13.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
598,Julian Champagnie,Phi,F,21.8,2,3.4,13.4,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,
599,Michael Foster Jr.,Phi,F,20.2,1,1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
600,Frank Jackson,Uta,G,24.9,1,5.1,24.6,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,2,1,3,0,48.1,120.2
601,Alondes Williams,Bro,G,23.8,1,5.3,16.7,100,0,0,0,0,0,0,,,0,1,0,0,0,2,1,0,1,0,,97.5
602,Jamaree Bouyea,Was,G,23.8,1,5.5,7.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,99.9
603,Moses Brown,Bro,C,23.5,2,3.2,6.9,100,0,0,0,0,0,0,,,0,0,0,0.5,0,0.5,0,0,0,0,,
604,Donovan Williams,Atl,G,21.6,1,1.7,24.7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,
605,Justin Champagnie,Bos,G-F,21.8,1,3.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,